Run,Sequential Time,Task-based Time,Block-based Time,Num Threads,N,BS
1,0.008362,0.958535,0.021568,4,1000,10
2,0.008912,1.030271,0.009858,4,1000,10
3,0.010206,1.014805,0.010749,4,1000,10
4,0.010409,1.026547,0.010657,4,1000,10
5,0.008853,1.044429,0.009595,4,1000,10
6,0.008991,1.070206,0.005129,4,1000,20
7,0.009700,1.046273,0.007535,4,1000,20
8,0.008903,1.026579,0.005975,4,1000,20
9,0.010098,1.041508,0.005431,4,1000,20
10,0.010102,1.054991,0.005206,4,1000,20
11,0.009334,1.041748,0.004164,4,1000,30
12,0.009238,1.049532,0.003931,4,1000,30
13,0.008564,1.028638,0.004403,4,1000,30
14,0.008766,1.021733,0.004261,4,1000,30
15,0.008948,1.029642,0.016066,4,1000,30
16,0.009706,1.004512,0.003845,4,1000,40
17,0.008835,1.063062,0.004093,4,1000,40
18,0.008994,1.000612,0.003954,4,1000,40
19,0.009563,1.040686,0.004000,4,1000,40
20,0.010056,1.049453,0.003905,4,1000,40
21,0.009134,1.065844,0.003618,4,1000,50
22,0.008612,1.030431,0.003996,4,1000,50
23,0.010640,1.029739,0.004134,4,1000,50
24,0.008160,1.050304,0.003639,4,1000,50
25,0.007743,1.039063,0.007041,4,1000,50
26,0.009883,1.005975,0.003948,4,1000,50
27,0.008964,1.068184,0.003910,4,1000,50
28,0.009129,1.056567,0.003922,4,1000,50
29,0.010036,1.060020,0.003974,4,1000,50
30,0.009714,1.079059,0.004517,4,1000,50
31,0.036121,3.941640,0.017626,4,2000,50
32,0.034938,3.983904,0.016988,4,2000,50
33,0.035692,3.970462,0.014963,4,2000,50
34,0.035371,3.947786,0.016900,4,2000,50
35,0.034568,4.192168,0.014975,4,2000,50
36,0.104288,8.586609,0.041851,4,3000,50
37,0.110343,8.381764,0.044716,4,3000,50
38,0.081353,8.736663,0.041789,4,3000,50
39,0.080202,8.334075,0.034618,4,3000,50
40,0.083076,8.508854,0.050800,4,3000,50
41,0.196736,15.327470,0.074208,4,4000,50
42,0.158581,14.181394,0.086061,4,4000,50
43,0.189897,14.613476,0.073767,4,4000,50
44,0.142625,15.161130,0.064250,4,4000,50
45,0.140756,14.416193,0.076112,4,4000,50
46,0.210858,22.019420,0.099741,4,5000,50
47,0.212402,21.842183,0.103539,4,5000,50
48,0.221845,21.600196,0.113935,4,5000,50
49,0.207042,21.536213,0.099421,4,5000,50
50,0.210879,21.632015,0.100951,4,5000,50
51,0.008637,1.026851,0.004120,4,1000,50
52,0.008653,1.056612,0.004023,4,1000,50
53,0.008008,0.999933,0.004490,4,1000,50
54,0.009090,1.068701,0.004387,4,1000,50
55,0.009364,1.053096,0.003899,4,1000,50
56,0.009587,1.026288,0.004041,8,1000,50
57,0.010269,1.042499,0.004054,8,1000,50
58,0.008750,0.996033,0.004227,8,1000,50
59,0.009149,0.964657,0.005046,8,1000,50
60,0.008817,1.015347,0.004329,8,1000,50
61,0.009053,1.013263,0.004270,12,1000,50
62,0.009170,1.133788,0.017075,12,1000,50
63,0.009019,0.958313,0.004123,12,1000,50
64,0.009454,1.155469,0.004142,12,1000,50
65,0.014620,0.970500,0.004038,12,1000,50
66,0.009982,0.964372,0.006156,16,1000,50
67,0.009819,0.906122,0.004613,16,1000,50
68,0.010707,0.994473,0.006270,16,1000,50
69,0.009660,0.993993,0.006095,16,1000,50
70,0.008986,1.009467,0.006609,16,1000,50
