Run,Sequential Time,Task-based Time,Block-based Time,Num Threads,N,BS
1,0.009061,0.987597,0.004663,4,1000,100
2,0.008244,1.000737,0.003959,4,1000,100
3,0.012279,1.081494,0.004410,4,1000,100
4,0.011266,1.035865,0.003985,4,1000,100
5,0.009127,1.071829,0.003730,4,1000,100
6,0.033320,3.976984,0.013200,4,2000,100
7,0.033502,3.924423,0.015873,4,2000,100
8,0.033705,3.989334,0.017447,4,2000,100
9,0.035114,4.002962,0.015006,4,2000,100
10,0.033328,3.915443,0.013304,4,2000,100
11,0.075082,8.652681,0.030091,4,3000,100
12,0.081224,8.658830,0.035394,4,3000,100
13,0.076452,8.685101,0.031649,4,3000,100
14,0.074625,8.635729,0.030330,4,3000,100
15,0.081777,9.993630,0.029389,4,3000,100
16,0.131815,14.905469,0.059039,4,4000,100
17,0.133720,14.858227,0.066364,4,4000,100
18,0.138639,14.773192,0.058051,4,4000,100
19,0.135554,15.289841,0.064414,4,4000,100
20,0.135122,15.171454,0.075185,4,4000,100
21,0.215145,22.757492,0.088620,4,5000,100
22,0.206229,22.817525,0.088517,4,5000,100
23,0.207238,22.354623,0.081808,4,5000,100
24,0.208622,22.518206,0.084285,4,5000,100
25,0.207528,22.263556,0.080779,4,5000,100
26,0.300344,31.768712,0.124842,4,6000,100
27,0.354995,32.383896,0.122637,4,6000,100
28,0.333910,32.033445,0.147857,4,6000,100
29,0.300266,31.961268,0.136939,4,6000,100
30,0.298524,32.003651,0.123776,4,6000,100
31,0.419320,43.616073,0.167342,4,7000,100
32,0.415582,43.684095,0.174668,4,7000,100
33,0.446967,44.726444,0.188746,4,7000,100
34,0.459966,46.879508,0.196466,4,7000,100
35,0.488131,46.647753,0.210153,4,7000,100
36,0.723622,57.149324,0.222847,4,8000,100
37,0.562361,56.070673,0.229517,4,8000,100
38,0.539782,56.501620,0.224714,4,8000,100
39,0.531120,55.790890,0.231345,4,8000,100
40,0.541655,56.059303,0.261990,4,8000,100
41,0.766995,75.205753,0.326815,4,9000,100
42,0.758618,75.728640,0.311237,4,9000,100
43,0.764949,73.567745,0.280747,4,9000,100
44,0.727859,70.382118,0.279176,4,9000,100
45,0.691614,69.564794,0.285888,4,9000,100
46,0.851007,85.901772,0.368079,4,10000,100
47,1.008125,86.628149,0.346757,4,10000,100
48,0.865885,85.420360,0.350260,4,10000,100
49,0.857641,86.630105,0.354923,4,10000,100
50,0.851676,85.536025,0.340862,4,10000,100
51,0.008257,1.003521,0.005041,4,1000,20
52,0.008619,1.007600,0.004928,4,1000,20
53,0.008320,1.034630,0.005209,4,1000,20
54,0.008138,1.107611,0.019310,4,1000,20
55,0.008158,1.029098,0.005811,4,1000,20
56,0.008476,1.039351,0.004284,4,1000,40
57,0.008058,0.996569,0.003993,4,1000,40
58,0.007749,0.992297,0.003750,4,1000,40
59,0.008936,1.011960,0.004310,4,1000,40
60,0.008971,1.051429,0.004209,4,1000,40
61,0.008091,1.046937,0.003746,4,1000,60
62,0.008291,1.028067,0.003695,4,1000,60
63,0.008418,1.022694,0.004052,4,1000,60
64,0.008470,0.995283,0.003704,4,1000,60
65,0.009851,1.034309,0.003773,4,1000,60
66,0.007826,1.031782,0.004460,4,1000,80
67,0.008439,0.987292,0.003766,4,1000,80
68,0.008380,0.984775,0.003793,4,1000,80
69,0.008959,1.018964,0.005220,4,1000,80
70,0.008905,0.997855,0.004619,4,1000,80
71,0.008408,1.000164,0.013562,4,1000,100
72,0.008808,0.980422,0.004234,4,1000,100
73,0.009496,1.000822,0.003810,4,1000,100
74,0.008559,1.015344,0.003820,4,1000,100
75,0.009403,0.992267,0.004374,4,1000,100
76,0.008787,0.992411,0.003811,4,1000,100
77,0.008152,1.028621,0.003816,4,1000,100
78,0.008254,1.028602,0.003772,4,1000,100
79,0.008388,1.002187,0.004011,4,1000,100
80,0.008285,1.028855,0.003736,4,1000,100
81,0.008357,0.974080,0.004211,8,1000,100
82,0.008424,0.879986,0.006146,8,1000,100
83,0.008399,0.976312,0.005194,8,1000,100
84,0.009114,0.892670,0.004231,8,1000,100
85,0.008555,0.903403,0.006804,8,1000,100
86,0.008126,1.157347,0.005564,12,1000,100
87,0.009417,1.044180,0.005853,12,1000,100
88,0.007822,0.969820,0.005001,12,1000,100
89,0.008185,0.929784,0.005081,12,1000,100
90,0.007709,0.981471,0.006279,12,1000,100
91,0.008180,0.925516,0.005702,16,1000,100
92,0.009016,0.986122,0.005257,16,1000,100
93,0.008207,1.005507,0.004694,16,1000,100
94,0.008091,0.894061,0.004561,16,1000,100
95,0.008948,0.986461,0.006321,16,1000,100
