Run,Sequential Time,Task-based Time,Block-based Time,Num Threads,N,BS
1,0.007547,2.304567,0.053103,4,1000,10
2,0.007159,2.067144,0.009283,4,1000,10
3,0.007496,0.845244,0.008466,4,1000,10
4,0.007403,0.811947,0.008402,4,1000,10
5,0.007402,0.845930,0.008407,4,1000,10
6,0.006986,0.816374,0.003478,4,1000,20
7,0.007082,0.828023,0.003001,4,1000,20
8,0.007447,0.770107,0.004605,4,1000,20
9,0.006920,0.793917,0.003066,4,1000,20
10,0.007265,0.814826,0.002993,4,1000,20
11,0.007892,0.763844,0.002654,4,1000,30
12,0.007460,0.833953,0.009634,4,1000,30
13,0.007615,1.005916,0.002462,4,1000,30
14,0.009641,0.808382,0.004875,4,1000,30
15,0.008217,0.927408,0.013590,4,1000,30
16,0.010814,1.119054,0.002621,4,1000,40
17,0.007334,0.847246,0.005416,4,1000,40
18,0.007681,0.844297,0.003535,4,1000,40
19,0.007795,0.847209,0.002263,4,1000,40
20,0.008025,0.870690,0.002629,4,1000,40
21,0.007234,0.810288,0.003777,4,1000,50
22,0.007962,0.813195,0.003862,4,1000,50
23,0.007954,1.044616,0.002375,4,1000,50
24,0.008682,0.867430,0.002394,4,1000,50
25,0.007962,0.797546,0.004609,4,1000,50
26,0.007424,0.824988,0.002833,4,1000,50
27,0.007205,0.843085,0.002220,4,1000,50
28,0.008637,0.852073,0.002636,4,1000,50
29,0.007199,0.976098,0.007634,4,1000,50
30,0.009900,0.846103,0.002742,4,1000,50
31,0.030286,3.410886,0.010610,4,2000,50
32,0.027552,3.267078,0.009177,4,2000,50
33,0.029282,3.442673,0.009344,4,2000,50
34,0.031159,3.269098,0.009369,4,2000,50
35,0.033141,3.337874,0.009492,4,2000,50
36,0.070889,8.060869,0.020938,4,3000,50
37,0.087436,8.488004,0.020681,4,3000,50
38,0.067256,7.615789,0.020373,4,3000,50
39,0.068367,7.632283,0.026069,4,3000,50
40,0.065348,7.297043,0.021075,4,3000,50
41,0.123474,13.506241,0.040868,4,4000,50
42,0.122351,13.509692,0.041139,4,4000,50
43,0.124904,13.364241,0.046142,4,4000,50
44,0.115071,13.106710,0.040393,4,4000,50
45,0.118497,13.227609,0.039427,4,4000,50
46,0.182385,20.770581,0.072287,4,5000,50
47,0.184619,20.792502,0.064106,4,5000,50
48,0.179762,20.800391,0.069319,4,5000,50
49,0.181892,20.721880,0.076119,4,5000,50
50,0.181335,20.651401,0.075551,4,5000,50
51,0.007214,0.839757,0.002749,4,1000,50
52,0.007513,0.823450,0.003288,4,1000,50
53,0.007054,0.805716,0.002265,4,1000,50
54,0.007339,0.921612,0.003109,4,1000,50
55,0.007554,0.938456,0.003218,4,1000,50
56,0.007017,1.010295,0.004088,8,1000,50
57,0.007526,1.251664,0.002455,8,1000,50
58,0.006991,2.355267,0.002494,8,1000,50
59,0.007087,1.717338,0.003652,8,1000,50
60,0.007000,1.341952,0.004370,8,1000,50
61,0.007589,1.467278,0.003973,12,1000,50
62,0.007062,1.767642,0.003627,12,1000,50
63,0.006973,2.049791,0.004402,12,1000,50
64,0.007246,1.597495,0.002429,12,1000,50
65,0.008037,1.817735,0.002586,12,1000,50
66,0.006848,1.094619,0.004386,16,1000,50
67,0.007331,1.700608,0.003216,16,1000,50
68,0.006943,1.784069,0.004419,16,1000,50
69,0.008301,1.160970,0.003355,16,1000,50
70,0.007743,1.446684,0.003193,16,1000,50
