Run,Sequential Time,Task-based Time,Block-based Time,Num Threads,N,BS
1,0.007721,2.134392,0.016014,4,1000,10
2,0.007717,2.227578,0.021835,4,1000,10
3,0.008135,2.796506,0.028372,4,1000,10
4,0.017996,2.866846,0.019970,4,1000,10
5,0.007423,2.861105,0.031566,4,1000,10
6,0.008224,2.876925,0.008684,4,1000,20
7,0.007608,2.908276,0.009058,4,1000,20
8,0.007746,2.997441,0.008309,4,1000,20
9,0.007940,2.849675,0.009300,4,1000,20
10,0.008048,4.805877,0.008669,4,1000,20
11,0.007844,3.454950,0.005144,4,1000,30
12,0.009531,3.130427,0.005369,4,1000,30
13,0.008020,3.225778,0.004775,4,1000,30
14,0.008339,3.249041,0.004715,4,1000,30
15,0.007668,3.183196,0.005485,4,1000,30
16,0.009217,3.177426,0.003685,4,1000,40
17,0.007805,3.275063,0.003656,4,1000,40
18,0.008835,3.300282,0.003809,4,1000,40
19,0.008116,3.388501,0.009171,4,1000,40
20,0.008565,3.168276,0.003760,4,1000,40
21,0.008102,3.276799,0.004074,4,1000,50
22,0.017949,4.696137,0.003551,4,1000,50
23,0.009106,3.779003,0.005492,4,1000,50
24,0.025010,3.170559,0.004428,4,1000,50
25,0.007681,3.300274,0.003619,4,1000,50
26,0.021288,3.138460,0.003513,4,1000,50
27,0.009798,3.252548,0.003841,4,1000,50
28,0.009890,3.111428,0.006327,4,1000,50
29,0.009517,2.490060,0.002991,4,1000,50
30,0.009428,3.421314,0.006858,4,1000,50
