N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time,Sequential Deviation,Threadpool Deviation,Rayon Deviation
1000,50,2,4.033306278s,1.861652974s,2.270806742s,1.1701,0.4232,0.5404
1000,50,4,4.033306278s,1.143800662s,1.47392485s,1.1701,0.1381,0.2010
1000,50,8,4.033306278s,1.03108984s,1.203043762s,1.1701,0.1094,0.1811
1000,50,16,4.033306278s,974.239472ms,1.004180212s,1.1701,0.0842,0.1061
1000,100,2,4.033306278s,1.665896986s,2.006725722s,1.1701,0.1611,0.2701
1000,100,4,4.033306278s,1.196740046s,1.429527094s,1.1701,0.1903,0.2393
1000,100,8,4.033306278s,1.066182074s,1.305063228s,1.1701,0.0684,0.0990
1000,100,16,4.033306278s,1.094431142s,1.367652002s,1.1701,0.0748,0.1130
1000,200,2,4.033306278s,1.646813588s,1.94134424s,1.1701,0.1786,0.1906
1000,200,4,4.033306278s,1.821491636s,2.063846066s,1.1701,0.6030,0.4739
1000,200,8,4.033306278s,1.531801388s,1.924001598s,1.1701,0.1030,0.1588
1000,200,16,4.033306278s,1.52989214s,1.885771068s,1.1701,0.1707,0.2059
2000,100,2,12.093781752s,6.89831784s,7.292141814s,1.1044,0.9163,0.7948
2000,100,4,12.093781752s,3.770161658s,4.0330382s,1.1044,1.0317,1.0501
2000,100,8,12.093781752s,2.505334142s,2.751916162s,1.1044,0.0689,0.1310
2000,100,16,12.093781752s,2.510621662s,2.546540546s,1.1044,0.0743,0.0641
2000,200,2,12.093781752s,4.59187945s,4.561093974s,1.1044,0.1362,0.1188
2000,200,4,12.093781752s,3.073212798s,3.085345046s,1.1044,0.0920,0.1711
2000,200,8,12.093781752s,2.868567102s,2.866070528s,1.1044,0.0820,0.0785
2000,200,16,12.093781752s,2.882479416s,2.887125334s,1.1044,0.1052,0.1139
2000,400,2,12.093781752s,4.503863002s,4.545020084s,1.1044,0.0944,0.0782
2000,400,4,12.093781752s,4.02660888s,4.079445324s,1.1044,0.1220,0.1556
2000,400,8,12.093781752s,3.970390264s,4.0228465s,1.1044,0.0797,0.0971
2000,400,16,12.093781752s,4.00503096s,4.05396398s,1.1044,0.1116,0.1677
