Run,N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time
1,1000,50,2,1.76426977s,907.893861ms,902.508624ms
2,1000,50,2,1.726019914s,913.369748ms,1.008024586s
3,1000,50,2,1.710468828s,939.502552ms,973.702185ms
4,1000,50,2,1.709482242s,981.161752ms,972.136414ms
5,1000,50,2,1.846074688s,1.009751623s,971.198302ms
6,1000,50,2,1.791011459s,972.407921ms,1.005940709s
7,1000,50,2,1.814083155s,954.899714ms,1.043963496s
8,1000,50,2,1.854614761s,998.868272ms,954.566752ms
9,1000,50,2,1.753314392s,1.010874755s,953.735329ms
10,1000,50,2,1.750668267s,970.05555ms,965.16074ms
11,1000,50,2,1.776776325s,940.805987ms,973.014141ms
12,1000,50,2,1.752504153s,925.94349ms,1.059456926s
13,1000,50,2,1.727717174s,940.100522ms,945.403162ms
14,1000,50,2,1.716172552s,972.241132ms,995.5581ms
15,1000,50,2,1.711792345s,990.607683ms,1.028920843s
16,1000,50,2,1.714742503s,998.804776ms,972.21308ms
17,1000,50,2,1.755441527s,1.000344745s,996.169307ms
18,1000,50,2,1.747890085s,1.063791104s,1.061902562s
19,1000,50,2,1.846822597s,1.009032834s,1.00877181s
20,1000,50,2,1.860740923s,978.609089ms,1.043907503s
21,1000,50,2,1.743580591s,943.318591ms,965.788721ms
22,1000,50,2,1.768537651s,971.389364ms,985.525813ms
23,1000,50,2,1.765619226s,984.511599ms,983.476038ms
24,1000,50,2,1.799521922s,968.134121ms,1.166792579s
25,1000,50,2,1.741274983s,961.701088ms,989.355519ms
26,1000,50,2,1.736542617s,955.399665ms,981.591711ms
27,1000,50,2,1.743469747s,943.397593ms,988.30096ms
28,1000,50,2,1.723481847s,956.172419ms,1.01258065s
29,1000,50,2,1.712111691s,947.425567ms,1.00638743s
30,1000,50,2,1.71494774s,948.090859ms,935.338448ms
31,1000,50,2,1.718948673s,976.098318ms,972.640728ms
32,1000,50,2,1.702692667s,1.006801578s,1.031231845s
33,1000,50,2,1.732800909s,939.400593ms,1.000401594s
34,1000,50,2,1.755219354s,943.61895ms,1.004568991s
35,1000,50,2,1.708476485s,983.312579ms,973.834002ms
36,1000,50,2,1.727966458s,956.410318ms,1.048190636s
37,1000,50,2,1.729289781s,979.408749ms,971.641438ms
38,1000,50,2,1.767577751s,939.528685ms,976.795426ms
39,1000,50,2,1.777490003s,980.329256ms,974.960103ms
40,1000,50,2,1.72104024s,911.354213ms,1.013620466s
41,1000,50,2,1.714734603s,971.041542ms,1.005946692s
42,1000,50,2,1.743981694s,952.485248ms,1.003933853s
43,1000,50,2,1.729555934s,987.127864ms,974.727416ms
44,1000,50,2,1.736285007s,926.322989ms,989.013106ms
45,1000,50,2,1.715796814s,953.991646ms,989.117887ms
46,1000,50,2,1.723548566s,991.969446ms,970.484659ms
47,1000,50,2,1.71131308s,910.100218ms,1.01842587s
48,1000,50,2,1.706639399s,950.757915ms,979.262603ms
49,1000,50,2,1.71602226s,973.210722ms,941.230619ms
50,1000,50,2,1.693469209s,959.823193ms,957.95972ms
51,1000,50,4,1.76426977s,710.820269ms,761.736571ms
52,1000,50,4,1.726019914s,670.383281ms,701.969069ms
53,1000,50,4,1.710468828s,676.449027ms,969.717525ms
54,1000,50,4,1.709482242s,704.955956ms,721.389662ms
55,1000,50,4,1.846074688s,684.624565ms,628.548716ms
56,1000,50,4,1.791011459s,623.256871ms,730.508051ms
57,1000,50,4,1.814083155s,658.832807ms,634.847795ms
58,1000,50,4,1.854614761s,651.629301ms,668.500682ms
59,1000,50,4,1.753314392s,693.878164ms,657.139234ms
60,1000,50,4,1.750668267s,673.005284ms,640.256304ms
61,1000,50,4,1.776776325s,732.202715ms,760.929672ms
62,1000,50,4,1.752504153s,702.961425ms,720.971169ms
63,1000,50,4,1.727717174s,648.763816ms,620.95773ms
64,1000,50,4,1.716172552s,703.795882ms,618.819868ms
65,1000,50,4,1.711792345s,687.663248ms,687.893343ms
66,1000,50,4,1.714742503s,721.284641ms,635.016242ms
67,1000,50,4,1.755441527s,658.335243ms,671.377918ms
68,1000,50,4,1.747890085s,663.675792ms,653.315663ms
69,1000,50,4,1.846822597s,701.758238ms,650.542493ms
70,1000,50,4,1.860740923s,648.968357ms,687.997824ms
71,1000,50,4,1.743580591s,699.435711ms,628.896042ms
72,1000,50,4,1.768537651s,656.213203ms,641.302343ms
73,1000,50,4,1.765619226s,681.436542ms,670.839498ms
74,1000,50,4,1.799521922s,642.673875ms,684.240758ms
75,1000,50,4,1.741274983s,936.979178ms,621.055138ms
76,1000,50,4,1.736542617s,727.093588ms,804.728688ms
77,1000,50,4,1.743469747s,654.301358ms,850.886953ms
78,1000,50,4,1.723481847s,676.578175ms,643.416769ms
79,1000,50,4,1.712111691s,666.451447ms,616.394114ms
80,1000,50,4,1.71494774s,667.752093ms,647.026286ms
81,1000,50,4,1.718948673s,697.533303ms,682.131756ms
82,1000,50,4,1.702692667s,726.140991ms,683.543746ms
83,1000,50,4,1.732800909s,704.407226ms,685.209696ms
84,1000,50,4,1.755219354s,700.924528ms,708.665688ms
85,1000,50,4,1.708476485s,694.624134ms,717.69429ms
86,1000,50,4,1.727966458s,686.122529ms,699.29205ms
87,1000,50,4,1.729289781s,679.735888ms,705.833858ms
88,1000,50,4,1.767577751s,680.995567ms,612.555157ms
89,1000,50,4,1.777490003s,677.591046ms,688.120925ms
90,1000,50,4,1.72104024s,668.600911ms,651.033509ms
91,1000,50,4,1.714734603s,676.658841ms,737.54691ms
92,1000,50,4,1.743981694s,706.659971ms,717.853416ms
93,1000,50,4,1.729555934s,686.7564ms,626.36187ms
94,1000,50,4,1.736285007s,688.000178ms,694.351586ms
95,1000,50,4,1.715796814s,664.997663ms,713.566182ms
96,1000,50,4,1.723548566s,685.580628ms,703.866478ms
97,1000,50,4,1.71131308s,677.740214ms,673.591963ms
98,1000,50,4,1.706639399s,703.008349ms,692.557772ms
99,1000,50,4,1.71602226s,717.614314ms,673.619144ms
100,1000,50,4,1.693469209s,693.132845ms,705.270242ms
101,1000,50,8,1.76426977s,727.962843ms,802.757425ms
102,1000,50,8,1.726019914s,719.227458ms,593.370203ms
103,1000,50,8,1.710468828s,653.598995ms,628.382275ms
104,1000,50,8,1.709482242s,686.958746ms,667.551924ms
105,1000,50,8,1.846074688s,711.716657ms,757.485037ms
106,1000,50,8,1.791011459s,692.567337ms,683.474002ms
107,1000,50,8,1.814083155s,662.977905ms,634.006101ms
108,1000,50,8,1.854614761s,674.505424ms,670.829321ms
109,1000,50,8,1.753314392s,707.014437ms,638.235736ms
110,1000,50,8,1.750668267s,666.465457ms,649.439863ms
111,1000,50,8,1.776776325s,653.892452ms,670.045269ms
112,1000,50,8,1.752504153s,693.236367ms,594.439311ms
113,1000,50,8,1.727717174s,673.94208ms,660.734772ms
114,1000,50,8,1.716172552s,849.538955ms,660.480451ms
115,1000,50,8,1.711792345s,659.553236ms,798.006645ms
116,1000,50,8,1.714742503s,666.535225ms,602.113971ms
117,1000,50,8,1.755441527s,728.162686ms,637.825645ms
118,1000,50,8,1.747890085s,704.465628ms,721.3465ms
119,1000,50,8,1.846822597s,654.728423ms,625.317605ms
120,1000,50,8,1.860740923s,693.432045ms,690.771376ms
121,1000,50,8,1.743580591s,739.331132ms,637.53615ms
122,1000,50,8,1.768537651s,683.864371ms,603.838026ms
123,1000,50,8,1.765619226s,718.925224ms,682.063059ms
124,1000,50,8,1.799521922s,643.812671ms,630.923211ms
125,1000,50,8,1.741274983s,679.581879ms,705.774125ms
126,1000,50,8,1.736542617s,695.178604ms,705.261383ms
127,1000,50,8,1.743469747s,688.697769ms,582.097684ms
128,1000,50,8,1.723481847s,653.625584ms,711.201962ms
129,1000,50,8,1.712111691s,646.844335ms,652.981971ms
130,1000,50,8,1.71494774s,702.312823ms,602.790299ms
131,1000,50,8,1.718948673s,642.83736ms,664.358116ms
132,1000,50,8,1.702692667s,659.441224ms,649.500895ms
133,1000,50,8,1.732800909s,711.219835ms,654.532264ms
134,1000,50,8,1.755219354s,672.011893ms,700.18072ms
135,1000,50,8,1.708476485s,693.664089ms,614.342335ms
